epnumber,pull?,eptype,epsubtype,releaseorder,guestprefix,guestfirstname,guestsurname,guestsuffix,guestspecialname,guestanon?,epnamesubtitle,firstnameoverride,fullnameoverride,guestfullname,guestdisplayfirstname,guestdisplayfullname,epdisplayname,parenthesisafterspecial,episodefullname,epfullname,releasedateddmmyyyy,releasedatelong,spotlink,applelink,ytlink,amazlink,artworkimg,live?,seriesno,epwithinseries,SNEN,S0NE0N,durationshhmmss,durationmm,durationhrm,1stjob,2ndjob,3rdjob,guestinsta1,guestinsta2,guestinstahandle1,guestinstalink1,guestinstahandle2,guestinstalink2,guestx1,guestx2,guestxhandle1,guestxlink1,guestxhandle2,guestxlink2,website1,website1label,featurequote1,acastblurb,credit1title,credit1person,credit2title,credit2person,credit3title,credit3person,bonuscontentlabel1,bonuscontentlink1,bonuscontentlabel2,bonuscontentlink2
18,Y,reg,reg,18,,Patrick,Stahl,,,,,,,Patrick Stahl,Patrick,Patrick Stahl,Patrick Stahl,,Episode 18: Patrick Stahl,Ep. 18: Patrick Stahl,29/04/2024,"29 April, 2024",https://open.spotify.com/episode/0R0EbwPABJbfgg3E1fk5Ma?si=V4bwGEZrQ4W8jdAy8uAgfA,https://podcasts.apple.com/gb/podcast/ep-18-patrick-stahl/id1705650684?i=1000653870083,,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/828d09eb-a553-43ec-af97-fe33b0467541/careers-mare-ep-18-patrick-stahl,images/artworks/artwork18.png,Y,1,18,S1E18,S1E18,01:33:10,93,1 hr 33 m,leadership coach,,,konsultpappan,findperfectlife,@konsultpappan,https://instagram.com/konsultpappan/,@findperfectlife,https://instagram.com/findperfectlife/,Konsultpappan,,@Konsultpappan,https://x.com/Konsultpappan/,,,,,,"Hallå där! Kom in! Leadership expert and self-leadership trainer Patrick Stahl joins us for this episode, in which we discuss the impact of psychological safety, how artifical intelligence is changing business, and how to deal with complexity. But can we also help Patrick to find his dream job?",Music by,Robbie George,,,Edited by,Jacob Power,,,,
19,Y,reg,reg,19,,Hudson,Hughes,,,,,,,Hudson Hughes,Hudson,Hudson Hughes,Hudson Hughes,,Episode 19: Hudson Hughes,Ep. 19: Hudson Hughes,13/05/2024,"13 May, 2024",https://open.spotify.com/episode/6GnIACTctrvvyQftLHUTBJ?si=fttUNV28STqCyh8uut2fPw,https://podcasts.apple.com/gb/podcast/ep-19-hudson-hughes/id1705650684?i=1000655374670,,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/534b54ae-5578-419c-942c-19ebcee7064b/careers-mare-ep-19-hudson-hughes,images/artworks/artwork19.png,Y,1,19,S1E19,S1E19,01:32:16,92,1 hr 32 m,filmmaker,comedian,,hudsonhughesfilms,dinnerdaddies,@hudsonhughesfilms,https://instagram.com/hudsonhughesfilms/,@dinnerdaddies,https://instagram.com/dinnerdaddies/,,,,,,,https://hudsonhughesfilms.com/,Hudson's Website,It was just hexagons.,"It's Hexagon Hughes, I mean Hudson Hexagons, I mean Hudson Hughes! Today's guest is filmmaker, comedian and editor Hudson Hughes! Listen to find out about the feature film he made in his garage, his unfortunate lifeguarding encounter with Mr Brown, and which animator he plans to take captive as part of his dream job... and what about the hexagons?",Music by,Robbie George,Recording Producer,Alex Matthews,Edited by,Jacob Power,,,,
20,Y,reg,reg,20,,Jamie,Radford,,"""@thegreatnorfolkcarpenter""",N,,,,Jamie Radford,Jamie,Jamie Radford,@thegreatnorfolkcarpenter,Jamie Radford,Episode 20: @thegreatnorfolkcarpenter (Jamie Radford),Ep. 20: @thegreatnorfolkcarpenter (Jamie Radford),27/05/2024,"27 May, 2024",https://open.spotify.com/episode/0FD1mox1N51sZjkSUQqSfj?si=OY7PE2zgRkibqnvTjzS-GA,https://podcasts.apple.com/gb/podcast/ep-20-thegreatnorfolkcarpenter-jamie-radford/id1705650684?i=1000656872601,,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/c11689d8-322f-445e-8248-f4c5ddcfbd6f/careers-mare-ep-20-athegreatnorfolkcarpenter-jamie-radford,images/artworks/artwork20.png,Y,1,20,S1E20,S1E20,01:18:02,78,1 hr 18 m,carpenter,influencer,,thegreatnorfolkcarpenter,radford.renovations,@thegreatnorfolkcarpenter,https://instagram.com/thegreatnorfolkcarpenter/,@radford.renovations,https://instagram.com/radford.renovations/,,,,,,,,,,"Oak. Mahogany. Sycamore. Wood you guess what all of these have in common? If you can't then that's pine, because our guest Jamie Radford is here to help! Better known as @thegreatnorfolkcarpenter, the carpenter and social media star tells us all about life on building sites, his growing TikTok presence, and as always, his dream job.",Music by,Robbie George,,,Edited by,Jacob Power,,,,
21,Y,reg,reg,21,,Sharon,Wanjohi,,,,,,,Sharon Wanjohi,Sharon,Sharon Wanjohi,Sharon Wanjohi,,Episode 21: Sharon Wanjohi,Ep. 21: Sharon Wanjohi,10/06/2024,"10 June, 2024",https://open.spotify.com/episode/1S1ldkyyO0K50eWcZmWKNV?si=kY7D_jRGRx2e6Kxlk7vJ3Q,https://podcasts.apple.com/gb/podcast/ep-21-sharon-wanjohi/id1705650684?i=1000658413243,,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/1346bc10-9b0a-4813-8684-d51a4da92053/careers-mare-ep-21-sharon-wanjohi,images/artworks/artwork21.png,Y,1,21,S1E21,S1E21,01:20:45,81,1 hr 21 m,comedian,,,sharonwanjohi_,,@sharonwanjohi_,https://instagram.com/sharonwanjohi_/,,,SharonWanjohi_,,@SharonWanjohi_,https://x.com/SharonWanjohi_/,,,,,,"What's it like performing with your comedy heroes? What does an agent do? Would Sharon's dream job involve wearing a fake beard? All these questions and many more are answered in this episode with stand-up comedian and comedy writer Sharon Wanjohi, who takes Jacob and Jordan through her exciting career in comedy and, of course, her dream job. She has performed comedy on Comedy Central, Channel 4 and ITV, and her writing credits include Never Mind the Buzzcocks, The Jonathan Ross Show, and Late Night Lycett.",Music by,Robbie George,,,Edited by,Jacob Power,,,,
22,Y,reg,reg,22,,Martin,Bell,,,,,,,Martin Bell,Martin,Martin Bell,Martin Bell,,Episode 22: Martin Bell,Ep. 22: Martin Bell,24/06/2024,"24 June, 2024",https://open.spotify.com/episode/07cPWt4bY4q26pJJoKaMnz?si=bVsMKfrQSBaorVRr-XOFzg,https://podcasts.apple.com/gb/podcast/ep-22-martin-bell/id1705650684?i=1000659992684,,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/968f0a12-fdcd-49b0-8bbc-44391529519a/careers-mare-ep-22-martin-bell,images/artworks/artwork22.png,Y,1,22,S1E22,S1E22,01:25:09,85,1 hr 25 m,journalist,independent politican,,,,,,,,,,,,,,,,,"It's the series one finale, and our very special guest is BBC war correspondent, UNICEF Ambassador and former independent MP for Tatton, Martin Bell OBE. Martin takes Jacob and Jordan through his time spent in warzones in Vietnam, Bosnia and the Middle East, his historic election campaign against Neil Hamilton in 1997, and his time in Parliament as the first MP elected as an independent in almost 50 years. Martin is also one of very few people to have written to an insurer about damage caused by a falling cow or to have been protested against in the form of a calypso.",Music by,Robbie George,Recording Producer,Alex Matthews,Edited by,Jacob Power,,,,
23,Y,reg,theme,23,,Rosalind,Blessed,,,,Hallowe'en Special,Roz,,Rosalind Blessed,Roz,Rosalind Blessed,Rosalind Blessed (Hallowe'en Special),,Episode 23: Rosalind Blessed (Hallowe'en Special),Ep. 23: Rosalind Blessed (Hallowe'en Special),27/10/2024,"27 October, 2024",https://open.spotify.com/episode/1CBnLEeaSBn9BXKfmY2qSS?si=QCRlJdcCQGauztd8d9LXLQ,https://podcasts.apple.com/gb/podcast/ep-23-rosalind-blessed-halloween-special/id1705650684?i=1000675165679,,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/0d9302d4-0d43-4b3b-a1a0-9b18f589a014/careers-mare-ep-23-rosalind-blessed-hallowe'en-special,images/artworks/artwork23.png,Y,2,1,S2E1,S02E01,01:14:53,75,1 hr 15 m,actress,writer,,rosalindblessed,,@rosalindblessed,https://instagram.com/rosalindblessed/,,,RosalindBlessed,,@RosalindBlessed,https://x.com/RosalindBlessed/,,,https://www.imdb.com/name/nm1462526/,Roz's IMDb page,I've had a lot of therapy!,"OooooOOOOooo!!! It's our first Hallowe'en special and our guest is the spooktacular actress Rosalind Blessed. Dare ye enter the podcast episode of mysteries? How does Roz keep so positive in such an unforgiving craft? Why did Nick Frost need to come to her aid while she was a waitress? Who or what snuck into Jacob's house? Abandon hope, all ye that listen here.",Music by,Robbie George,,,Edited by,Jacob Power,,,,
24,Y,reg,reg,24,,Sean,Munger,,,,,,,Sean Munger,Sean,Sean Munger,Sean Munger,,Episode 24: Sean Munger,Ep. 24: Sean Munger,11/11/2024,"11 November, 2024",https://open.spotify.com/episode/4BEwhQZqrMI4A8eJZwv2AZ?si=_2_UyWb1RrSdoxKAb0z15Q,https://podcasts.apple.com/gb/podcast/ep-24-sean-munger/id1705650684?i=1000676561317,,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/6fa7f9da-c331-47ce-8cc8-8e004042083d/careers-mare-ep-24-sean-munger,images/artworks/artwork24.png,Y,2,2,S2E2,S02E02,02:21:07,141,2 hrs 21 m,historian,YouTuber,,sean_munger,,@sean_munger,https://instagram.com/sean_munger/,,,,,,,,,,,What is the job?,"In this bumper episode we talk to historian, teacher, author and YouTuber Sean Munger about his time as a real estate lawyer during the financial crisis, his work in climate change consulting, and his journey to becoming a long-form history YouTuber with over 100,000 subscribers. Featuring barcodes, Beanie Babies and the reason why Sean didn't become a knife salesman.

",Music by,Robbie George,,,Edited by,Jacob Power,,,,
25,Y,reg,reg,25,,Jasper,Marshal,,,,,,,Jasper Marshal,Jasper,Jasper Marshal,Jasper Marshal,,Episode 25: Jasper Marshal,Ep. 25: Jasper Marshal,26/11/2024,"26 November, 2024",https://open.spotify.com/episode/0o6kKcHOzzRAX0TM0iEd6F?si=miKw0hbXS2iiUEvdNK1rdQ,https://podcasts.apple.com/gb/podcast/ep-25-jasper-marshall/id1705650684?i=1000678118657,,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/aedbfa81-3134-40ee-b803-fb1887d370cc/careers-mare-ep-25-jasper-marshall,images/artworks/artwork25.png,Y,2,3,S2E3,S02E03,01:11:34,72,1 hr 12 m,earwax removal specialist,comedian,,jmarshall9000,boysfromfudge,@jmarshall9000,https://instagram.com/jmarshall9000/,@boysfromfudge,https://instagram.com/boysfromfudge/,TheRealJasperM,,@TheRealJasperM,https://x.com/TheRealJasperM/,,,,,It's about controlling the galaxy!,"Earwax removal technician, comedian and Boy from F.U.D.G.E. Jasper Marshall used to be a shy boy. A lot of working face-to-face with customers sorted that out, and now he's our latest guest. Find out all about cleaning ears, bartending and playing Prince Andrew in a one-man play.",Music by,Robbie George,,,Edited by,Jacob Power,How Much to Jump Into a Black Hole?,https://www.youtube.com/watch?v=jwkGpjOKhcQ,,
26,Y,reg,reg,26,,David,Sheppard,,,,,,,David Sheppard,David,David Sheppard,David Sheppard,,Episode 26: David Sheppard,Ep. 26: David Sheppard,11/12/2024,"11 December, 2024",https://open.spotify.com/episode/6ttMmPnUgDVgvZx4pLIG7v?si=Nlnm6ri6SDGHshO7XswMuQ,https://podcasts.apple.com/gb/podcast/ep-26-david-sheppard/id1705650684?i=1000679708227,,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/3dc876d1-fc0d-4f4e-acfa-00120f2b341c/careers-mare-ep-26-david-sheppard,images/artworks/artwork26.png,Y,2,4,S2E4,S02E04,01:24:10,84,1 hr 24 m,voiceover artist,event host,,davidtsheps,,@davidtsheps,https://instagram.com/davidtsheps/,,,DavidTShep,,@DavidTShep,https://x.com/DavidTShep/,,,https://www.davidsheppard.info/,David's Website,Please mind the gap.,"Alighting at Platform 26 is broadcaster, voiceover artist, event host and writer David Sheppard, and you had better be sure that he is minding the gap. Listen to hear all about his working life, from buying and restoring a bus, On the Buses, and his bus podcast, to his radio career and starting his own business. Any odd jobs going?",Music by,Robbie George,,,Edited by,Jacob Power,,,,
27,Y,reg,theme,27,,Louise,Lewis,,,,Christmas Special,,,Louise Lewis,Louise,Louise Lewis,Louise Lewis (Christmas Special),,Episode 27: Louise Lewis (Christmas Special),Ep. 27: Louise Lewis (Christmas Special),22/12/2024,"22 December, 2024",https://open.spotify.com/episode/1JWIKbgiAV2wD4k3bH2ArP?si=jh0N1IsqQSOvPfER1gNgLQ,https://podcasts.apple.com/gb/podcast/ep-27-louise-lewis-christmas-special/id1705650684?i=1000681342581,,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/dcb06065-1f49-4c59-b362-af027b4d8012/careers-mare-ep-27-louise-lewis-christmas-special,images/artworks/artwork27.png,Y,2,5,S2E5,S02E05,01:06:57,67,1 hr 7 m,giftwrapping expert,,,louiselewisuk,,@louiselewisuk,https://instagram.com/louiselewisuk/,,,,,,,,,louiselewis.co.uk,Louise's Website,,"In our second Christmas special we are joined by professional gift-wrapper, Louise Lewis, who runs her own teaching and consulting business and has come to the attention of ITV's This Morning for her gift-wrapping skills. Listen to find out how Louise's career led to her current business, as always, her dream job, and, of course, her gift-wrapping top tips. Have a look on our social media for some video clips!",Music by,Robbie George,,,Edited by,Jacob Power,,,,
28,Y,reg,reg,28,,Alex,Farrow,,,,,,,Alex Farrow,Alex,Alex Farrow,Alex Farrow,,Episode 28: Alex Farrow,Ep. 28: Alex Farrow,13/01/2025,"13 January, 2025",,,,,images/artworks/artwork28.png,N,2,6,S2E6,S02E06,,0,0 m,comedian,,,alexfarrowcomedy,,@alexfarrowcomedy,https://instagram.com/alexfarrowcomedy/,,,,,,,,,,,,,Music by,Robbie George,,,Edited by,Jacob Power,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,images/artworks/artwork.png,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
