epnumber,pull?,eptype,epsubtype,releaseorder,guestprefix,guestfirstname,guestsurname,guestsuffix,guestspecialname,guestanon?,epnamesubtitle,firstnameoverride,fullnameoverride,guestfullname,guestdisplayfirstname,guestdisplayfullname,epdisplayname,parenthesisafterspecial,episodefullname,epfullname,releasedateddmmyyyy,releasedatelong,spotlink,applelink,ytlink,amazlink,artworkimg,live?,seriesno,epwithinseries,SNEN,S0NE0N,durationshhmmss,durationmm,durationhrm,1stjob,2ndjob,3rdjob,guestinsta1,guestinsta2,guestinstahandle1,guestinstalink1,guestinstahandle2,guestinstalink2,guestx1,guestx2,guestxhandle1,guestxlink1,guestxhandle2,guestxlink2,website1,website1label,featurequote1,acastblurb,credit1title,credit1person,credit2title,credit2person,credit3title,credit3person,bonuscontentlabel1,bonuscontentlink1,bonuscontentlabel2,bonuscontentlink2
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,Episode :  ,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,, ,,,Ep. :  ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Ep. : ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Ep. : ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Ep. : ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Ep. : ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Ep. : ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Ep. : ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Ep. : ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Ep. : ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Ep. : ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Ep. : ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Ep. : ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Ep. : ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Ep. : ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Ep. : ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Ep. : ,,,,,,,,,,,SE,S0E0,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,